aa	Afaraf
gut	Maléku Jaíka
guu	Yanomamö
guv	Gey
guw	Gun
gux	Gourmanchéma
gux-x-gourmantche	Gourmantche
guz	Gusii
gv	Gaelg, Gailck
gva	Guana (Paraguay)
gvc	Guanano
gve	Duwet
gvf	Golin
gvf-x-kopan	Kopan
gvf-x-kunanaku	Kunanaku
gvj	Guajá
gvl	Gulay
gvm	Gurmana
gvn	Kuku-Yalanji
gvo	Gavião Do Jiparaná
gvp	Pará Gavião
gvr	Western Gurung
gvs	Gumawana
gwa	Mbato
gwb	Gwa
gwc	گاوری زبان
gwd	Gawwada
gwe	Gweno
gwf	گوورو
gwg	Moo
gwi	Gwichʼin
gwj	|Gwi
gwn	Gwandara
gwr	Gwere
gwt	Gawar-Bati
gww	Kwini
gwx	Gua
gxx	Wè Southern
gya	Northwest Gbaya
gyb	Garus
gyb-x-emnam	Emnam
gyb-x-emnin	Emnin
gyd	Kayardild
gye	Gyem
gyg	Gbayi
gyi	Gyele
gyl	Gayil
gym	Ngäbere
gyn	Guyanese Creole English
gyr	Guarayu
gyz	Gyaazi
gza	Ganza
gzi	Gazi
gzn	Gane
ha	(Hausa) هَوُسَ
haa	Han
hab	Ngôn ngữ ký hiệu Hà Nội
hac	گۆرانی
had	Hatam
had-x-moile	Moile
hae	Eastern Oromo
haf	Ngôn ngữ ký hiệu Hải Phòng
hag	Hanga
hah	Hahon
hai	Haida
haj	Hajong
hak	客家語
hak-ID-kalimanhak	Kalimantan Hakka Chinese
hal	Halang
ham	Hewa
han	Hangaza
hao	Haku
hap	Hupla
haq	Ha
haq-x-jiji	Jiji
haq-x-lawanyenka	Lawanyenkanda
haq-x-tusi	Tusi
haq-x-wanyahiru	Wanyahiru
har	Harari
has	Haisla
hav	Havu
hav-x-kigendo	Kigendo
hav-x-kihavuidjui	Kihavu Idjui
haw	Hawaiian
hax	Southern Haida
hay	Haya
hay-x-kiziba	Kiziba
hay-x-nyaihangiro	Kinyaihangiro
haz	آزرگی
hba	Hamba
hbb	Huba
hbn	Heiban
hbo	Ancient Hebrew
hbs	Serbo-Croatian
hbu	Habu
hca	Andaman Creole Hindi
hch	Huichol
hch-x-huicholeste	Huicholes del este
hch-x-wixarika	Wixarika
hdn	Northern Haida
hds	Honduras Sign Language
hdy	Hadiyya
he	עברית
hea	北部土语
hed	Herdé
heg	Helong
heh	Hehe
hei	Heiltsuk
hem	Hemba
hem-x-kayungu	Kayungu
hem-x-yambula	Yambula
her-BW-otjimbande	Otjimbanderu
hgm	Hai||om
hgw	Haigwai
hhi	Hoia Hoia
hhr	Kerak
hhy	Hoyahoya
hi	हिन्दी, हिंदी
hia	Lamang
hid	Hidatsa
hif	Fiji Hindi
hig	Kamwe
hih	Pamosu
hih-x-yoro	Yoro
hii	Hinduri
hij	Hijuk
hik	Seit-Kaitetu
hil	Hiligaynon
hio	Tsoa
hir	Himarimã
hit	Hittite
hiw	Hiw
hix	Hixkaryána
hi-x-bhartali	Bhartali Khadiboli
hi-x-dcv	हिन्दी, हिंदी - Dominant Culture Variant
hi-x-dehathi	Dehathi Hindi
hi-x-pawani	Pawani
hi-x-waradhi	Waradhi
hji	Haji
hka	Kahe
hke	Hunde
hke-x-bakobo	Bakobo
hkk	Hunjara-Kaina Ke
hkk-x-hunjara	Hunjara
hkn-x-mel	Mel
hkn-x-melkhaonh	Mel-Khaonh
hks	Hong Kong Sign Language
hla	Halia
hlb	Halbi
hlb-x-chandari	Chandar Bhasha
hld	Halang Doan
hle	勒苏
hlt	Matu Chin
hlu	Hieroglyphic Luwian
hma	麻山
hmb	Humburi Senni Songhay
hmc	Central Huishui Hmong
hmd	大花苗
hme	Eastern Huishui Hmong
hmf	Mông Don
hmg	Southwestern Guiyang Hmong
hmh	Southwestern Huishui Hmong
hmi	Northern Huishui Hmong
hmj	家语
hmk	Maek
hml	罗泊河
hmm	中部土语
hmn	囊括代码
hmp	麻山
hmq	东部土语
hmr	Hmar
hms	南部土语
hmt	Hamtai
hmu	Hamap
hmv	Mông Đỏ
hmv-x-do	Do
hmw	西部土语
hmy	Southern Guiyang Hmong
hmz	汉苗方言
hna	Mina (Cameroon)
hnd	ہندکو
hne	Chhattisgarhi
hne-x-khaltahi	Khaltahi
hnh	||Ani
hni	哈尼语
hni-x-Bu4Du1 Hani	Bu4Du1 Hani
hni-x-budu	Bu4du4 Hani
hni-x-longpuha	Longpu Hani
hni-x-yicei	Yicei
hnj	Hmong Njua
hnj-CN-qingmiao	Miao, Qing
hnn	Hanunoo
hno	Northern Hindko
hns	Caribbean Hindustani
hnu	Hung
ho	Hiri Motu
hoa	Hoava
hob	Mari (Madang Province)
hoc	Ho
hoe	Horom
hoh	لغة هوبيوت
hoi	Holikachuk
hoj	Hadothi
hol	Holu
hoo	Holoholo
hop	Hopi
hos	Ngôn ngữ ký hiệu Thành phố Hồ Chí Minh
hot	Hote
hov	Hovongan
hov-x-punanuheng	Dayak Punan Uheng
how	Honi
hoy	Holiya
hoz	Hozo
hpo	Hpon
hps	Hawai'i Sign Language (HSL)
hr	hrvatski jezik
hra	Hrangkhol
hrc	Niwer Mil
hre	Tiếng Hrê
hrk	Haruku
hrm	角苗方言
hro	Haroi
hrt	Hértevin
hru	Hruso
hru-x-aka	Aka
hrw	Warwar Feni
hrx	Hunsrik
hrz	هرزندی، هرزنی
hsb	Upper Sorbian
hsh	Hungarian Sign Language
hsl	Hausa Sign Language
hsn	湘
hsn-x-liupanshui	Miao, Liupanshui
hss	لغة حرسوسية
ht	Kreyòl ayisyen
hto	Minica Huitoto
hts	Hadza
htu	Hitu
htx	Middle Hittite
hu	magyar
hub	Huambisa
huc	ǂHua
hud	Huaulu
hue	San Francisco Del Mar Huave
huf	Humene
hug	Huachipaeri
huh	Huilliche
hui	Huli
huj	Northern Guiyang Hmong
hul	Hula
hum	Hungana
huo	户语
hup	Hupa
huq	回辉语
hur	Halkomelem
hus	Huastec
hut	Humla
huu	Murui Huitoto
huv	San Mateo Del Mar Huave
hux	Nüpode Huitoto
huy	יהודיותא
huz	Гунзибский
hvc	Haitian Vodoun Culture Language
hve	San Dionisio Del Mar Huave
hvk	Haveke
hvn	Sabu
hvv	Santa María Del Mar Huave
hwa	Wané
hwc	Hawai'i Creole English
hwo	Hwana
hy	Հայերեն
hya	Hya
hyw	Western Armenian
hz	Otjiherero
ia	Interlingua
iai	Iaai
ian	Iatmul
iar	Purari
iar-x-iai	Iai
iar-x-koriki	Koriki
iar-x-vaimuru	Vaimuru
iba	Iban
iba-x-	Dayak Sangku
iba-x-baraipenye	Dayak Barai Penyelompat
iba-x-dayakbanjur	Dayak Banjur
iba-x-dayakbugau	Dayak Bugau
iba-x-dayakbunut	Dayak Bunut
iba-x-dayakdesa	Dayak Desa
iba-x-dayaknanga	Dayak Nanga
iba-x-dayaksebaruk	Dayak Sebaruk
iba-x-dayaksekapat	Dayak Sekapat
iba-x-dayakulu	Dayak Ulu
iba-x-desa	Desa
iba-x-desatempunak	Desa Tempunak
iba-x-entebang	Dayak Entebang
iba-x-ibanempran	Dayak Iban Empran
iba-x-kancing'k	Dayak Kancing'k
iba-x-ketior	Dayak Ketior
iba-x-ketungau	Dayak Ketungau
iba-x-ketungausesat	Ketungau Sesaek
iba-x-randuk	Dayak Randuk
iba-x-salako	Dayak Salako
iba-x-sangku	Dayak Sangku
iba-x-sekajang	Dayak Sekajang
iba-x-selawe	Dayak Selawe
iba-x-selibong	Dayak Selibong
iba-x-sepatoi	Dayak Sepatoi
iba-x-siberuang	Dayak Siberuang Sejiram
iba-x-sikung	Dayak Sikung
iba-x-silatmunta	Dayak Silat Muntak
iba-x-sontas	Dayak Sontas
iba-x-sungkung	Dayak Sungkung
iba-x-tadietn	Dayak Tadietn
ibb	Ibibio
ibd	Iwaidja
ibe	Akpes
ibg	Ibanag
ibl	Ibaloi
ibm	Agoi
ibn	Ibino
ibr	Ibuoro
ibu	Ibu
iby	Ibani
ica	Ede Ica
ich	Etkywan
icl	Icelandic Sign Language
icr	Islander Creole English
id	Bahasa Indonesia
ida	Idakho-Isukha-Tiriki
ida-x-isukha	Lwisukha
ida-x-tiriki	Tiriki
idb	Indo-Portuguese
idc	Idon
idd	Ede Idaca
ide	Idere
idi	Idi
idr	Indri
ids	Idesa
idt	Idaté
idu	Idoma
id-x-dcv	Bahasa Indonesia - Dominant Culture Variant
ie	Originally called Occidental; then Interlingue after WWII
ifa	Amganad Ifugao
ifa-x-munibannaw	Mun'ibannawol
ifb	Batad Ifugao
ifb-x-lowayangan	Lower Ayangan
ifb-x-uppayangan	Upper Ayangan
ife	Ifè
ife-x-ana	Ana
ifk	Tuwali Ifugao
ifk-x-yattuca	Yattuca
ifm	Teke-Fuumu
ifu	Mayoyao Ifugao
ify	Keley-I Kallahan
ify-x-munkalyon	Munkalyon
ig	Ásụ̀sụ̀ Ị̀gbò
igb	Ebira
igb-x-etuno	Etuno
igb-x-miyakan	Egbura Miya Kan
ige	Igede
igg	Igana
igl	Igala
igm	Kanggape
ign	Ignaciano
igo	Isebe
igs	Interglossa
igw	Igwe
igw-x-sale	Igwe-Sale
ihb	Iha Based Pidgin
ihi	Ihievbe
ihp	Iha
ihw	Bidhawal
ii	ꆈꌠ꒿ Nuosuhxop
iii-x-baiyi	Baiyi
iii-x-gongjiyi	Gongji Yi
iii-x-luoluo	Luoluo
ijc	Izon
ije	Biseni
ijj	Ede Ije
ijn	Kalabari
ijs	Southeast Ijo
ik	Iñupiaq, Iñupiatun
ike	Eastern Canadian Inuktitut
iki	Iko
ikk	Ika
ikl	Ikulu
iko	Olulumo-Ikom
ikp	Ikpeshi
iks	Inuit Sign Language
ikt	Inuinnaqtun
ikv	Iku-Gora-Ankwa
ikw	Ikwere
ikx	Ik
ikz	Ikizu
ila	Ile Ape
ilb	Ila
ilb-x-lundwe	Lundwe
ilb-x-twa	Twa
ili	伊犁土尔克语
ilk	Ilongot
ilk-x-bugkalot	Bugkalot
ill	Iranun
ilm	Malaysian Iranun
ilo	Iloko
ilp	Philippine Iranun
ils	International Sign
ilu	Ili'uun
ilv	Ilue
ima	Mala Malasar
imi	Anamgura
iml	Miluk
imn	Imonda
imo	Imbongu
imo-x-imboungu	Imbo Ungu Proper
imr	Imroing
ims	Marsian
imy	Milyan
inb	Inga
ing	Degexit'an
inh	Ингушский
inj	Jungle Inga
inl	Indonesian Sign Language
inm	Minaean
inn	Isinai
ino	Inoke-Yate
inp	Iñapari
ins	Indian Sign Language
ins-x-andrapsl	Andra Pradesh Sign Language
ins-x-karnatsl	Karnataka Sign Language
ins-x-keralasl	Malayalam Sign Language
ins-x-marathisl	Marathi Sign Language
ins-x-tamnadsl	Tamil Nadu Sign Language
ins-x-telugusl	Telugu Sign Language
int	Intha
inz	Ineseño
io	Ido
ior	Inor
iou	Tuma-Irumu
iow	Iowa-Oto
ipi	Ipili
ipo	Ipiko
iqu	Iquito
iqw	Ikwo
ire	Iresim
irh	Irarutu
iri	Irigwe
irk	Iraqw
irn	Irántxe
irr	Ir
iru	Irula
iru-x-nayak	Iruli Nayak
irx	Kamberau
iry	Iraya
is	Íslenska
isa	Isabi
isc	Isconahua
isd	Isnag
ise	Italian Sign Language
isg	Irish Sign Language
ish	Esan
isi	Nkem-Nkum
isk	škošmi zəvůk
ism	Masimasi
isn	Isanzu
iso	Isoko
isr	שפת הסימנים הישראלית
ist	Istriot
isu	Isu (Menchum Division)
it	italiano
itb	Binongan Itneg
itd	Southern Tidung
itd-x-dayaktahol	Dayak Tahol
ite	Itene
iti	Inlaod Itneg
itk	Judeo-Italian
itl	Ительменский
itm	Itu Mbon Uzo
ito	Itonama
itr	Iteri
its	Isekiri
itt	Maeng Itneg
itv	Itawit
itw	Ito
itx	Itik
ity	Moyadan Itneg
itz	Itzá
iu	ᐃᓄᒃᑎᑐᑦ
ium	勉語
ium-x-huaku	Huaku Yao
ium-x-lantien	Lan Tien Yao
ium-x-lantin	Lan Tin
ivb	Ibatan
ivv	Ivatan
iwk	I-Wak
iwm	Iwam
iwo	Iwur
iws	Sepik Iwam
ixc	Ixcatec
ixl	Ixil
iya	Iyayu
iyo	Mesaka
iyx	Yaka (Congo)
izh	Ижорский
izr	Izere
izz	Izii
ja	日本語 (にほんご)
jaa	Jamamadí
jab	Hyam
jac	Popti'
jad	Jahanka
jae	Yabem
jaf	Jara
jah	Jah Hut
jaj	Zazao
jak	Jakun
jal	Yalahatan
jam	Jamaican Creole English
jao	Yanyuwa
jaq	Yaqay
jas	New Caledonian Javanese
jat	Jakati
jau	Yaur
jav-x-banyu	Banyumasan
jav-x-cirebon	Cirebon
jav-x-jawatimur	Jawa Timur
jav-x-tegal	Tegal
jax	Jambi Malay
jay	Yan-nhangu
jaz	Jawe
jbe	ברברית יהודית
jbj	Arandai
jbk	Barikewa
jbm	Bijim
jbn	ⵜⴰⵏⴼⵓⵙⵉⵜ
jbo	Lojban
jbr	Jofotek-Bromnya
jbt	Jabutí
jbu	Jukun Takum
jbu-x-fete	Fete
jbw	Yawijibaya
jcs	Jamaican Country Sign Language
jct	Krymchak
jda	Jad
jdg	Jadgali
jdt	Горско-еврейский
jeb	Jebero
jee	Jerung
jeg	Jeng
jeg-x-lawi	Lawi
jeh	Jeh
jei	Yei
jek	Jeri Kuo
jel	Yelmek
jen	Dza
jer	Jere
jer-x-gasi	Gasi
jet	Manem
jet-x-menangki	Menangki
jeu	Jonkor Bourmataguil
jge	ברברית יהודית
jgk	Gwak
jgo	Ngomba
jhi	Jehai
jhs	Jhankot Sign Language
jia	Jina
jib	Jibu
jic	Tol
jid	Bu
jie	Jilbe
jig	Djingili
jih	道孚语
jii	Jiiddu
jil	Jilim
jim	Jimi (Cameroon)
jio	加茂
jiq	绰斯甲语
jit	Jita
jit-x-hambwe	Hambwe
jiu	攸乐基诺语
jiv	Shuar
jiy	补远基诺语
jje	Jejueo
jjr	Bankal
jkm	Mobwa Karen
jko	Kubo
jkp	Paku Karen
jkr	Koro (India)
jku	Labir
jle	Ngile
jls	Jamaican Sign Language
jma	Dima
jmb	Zumbun
jmc	Machame
jmd	Yamdena
jmi	Jimi (Nigeria)
jml	Jumli
jmn	Makuri Naga
jmr	Kamara
jms	Mashi (Nigeria)
jmw	Mouwase
jmx	Western Juxtlahuaca Mixtec
jna	Jangshung
jnd	Jandavra
jng	Yangman
jni	Janji
jnj	Yemsa
jnl	Rawat
jns	Jaunsari
job	Joba
job-x-kivira	Kivira
jod	Wojenaka
jog	Jogi
jos	Jordanian Sign Language
jow	Jowulu
jpa	Jewish Palestinian Aramaic
jpr	הפרסית-יהודית
jqr	Jaqaru
jra	Tiếng Gia Rai
jra-x-golar	Golar
jrb	ערבית יהודית
jrr	Jiru
jrt	Jakattoe
jru	Japrería
jsl	日本手話
jua	Júma
jub	Wannu
juc	Jurchen
jud	Worodougou
juh	Hõne
juk	Wapan
jul	Jirel
jum	Jumjum
jun	Juang
juo	Jiba
jup	Hupdë
jur	Jurúna
jus	Jumla Sign Language
jut	Jutish
juu	Ju
juw	Wãpha
juy	Juray
jv	basa Jawa
jvd	Javindo
jvn	Caribbean Javanese
jwi	Jwira-Pepesa
jya	རྒྱལ་རོང
jye	יהודית-תימנית
jyy	Jaya
ka	ქართული
kaa	Kara-Kalpak
kab	لهجة قبائلية
kab-x-tasahlit	Tasahlit
kac	Kachin
kad	Adara
kaf	卡卓
kag	Kajaman
kah	Kara (Central African Republic)
kai	Karekare
kaj	Jju
kak	Kayapa Kallahan
kak-x-nkalanguya	Northern Kalanguya
kak-x-skalanguya	Southern Kalanguya
kam	Kamba (Kenya)
kan-x-aruvu	Aruvu
kan-x-bavari	Bavari
kan-x-handijog	Handi Jogi
kan-x-jangalu	Jangalu
kan-x-kamashettaru	Kamashettaru
kan-x-kammara	Kammara
kan-x-kannadasl	Kannada Sign Language
kan-x-khacha	Khacha
kan-x-koungaru	Koungaru
kan-x-kudipottila	Kudipottila
kan-x-lambadi	Lambadi (Kannada script)
kan-x-palligaru	Palligaru
kan-x-periya	Periya
kan-x-rate	Rate
kan-x-siddi	Siddi
kan-x-sillekya	Sillekyatha
kan-x-swali	Swali
kan-x-takali	Takalik
kan-x-thigularu	Thigularu
kan-x-waddar	Waddar (Kannada script)
kan-x-yekalavya	Yekalavya
kao	Xaasongaxango
kap	Бежтинский
kaq	Capanahua
kas	कश्मीरी, كشميري‎
kav	Katukína
kaw	Kawi
kax	Kao
kay	Kamayurá
kaz-x-qazaqi	Qazaki
kbb	Kaxuiâna
kbc	Kadiwéu
kbd	къэбэрдеибзэ
kbe	Kanju
kbg	Khamba
kbh	Camsá
kbi	Kaptiau
kbj	Kari
kbk	Grass Koiari
kbk-x-eastkoiari	East Koiari
kbk-x-hogeri	Hogeri
kbk-x-mohi	Mohi
kbk-x-omani	Omani
kbk-x-uberi	Uberi
kbl	Kanembu
kbm	Iwal
kbn	Kare (Central African Republic)
kbo	Keliko
kbp	Kabiyè
kbq	Kamano
kbq-x-kafekofio	Kafe Kofio
kbr	Kafa
kbs	Kande
kbt	Abadi
kbt-x-maura	Gabadi
kbu	Kabutra
kbv	Dera (Indonesia)
kbw	Kaiep
kbx	Ap Ma
kby	Manga Kanuri
kbz	Duhwa
kca	Хантыйский
kca-x-kazim	Khanty Kazim
kca-x-pimskykhanty	Pimsky Khanty
kca-x-tramagan	Tramagan
kcb	Kawacha
kcc	Lubila
kcd	Ngkâlmpw Kanum
kce	Kaivi
kcf	Ukaan
kcg	Tyap
kcg-x-takad	Takad
kch	Vono
kci	Kamantan
kcj	Kobiana
kck	Kalanga
kcl	Kela (Papua New Guinea)
kcm	Gula (Central African Republic)
kcn	Nubi
kcn-KE-nubi	Nubi (Kenya)
kco	Kinalakna
kcp	Kanga
kcq	Kamo
kcr	Katla
kcs	Koenoem
kct	Kaian
kcu	Kami (Tanzania)
kcv	Kete
kcw	Kabwari
kcx	Kachama-Ganjule
kcy	البلبالية
kcz	Konongo
kdc	Kutu
kdd	Yankunytjatjara
kde	Makonde
kdf	Mamusi
kdf-x-aona	Aona
kdf-x-kakuna	Kakuna
kdf-x-kawang	Kawang
kdf-x-mamusisao	Mamusi Sao
kdf-x-pita	Pita
kdf-x-veru	Veru
kdg	Seba
kdh	Tem
kdi	Kumam
kdj	Karamojong
kdk	Numèè
kdl	Tsikimba
kdm	Kagoma
kdn	Kunda
kdp	Kaningdon-Nindem
kdq	Koch
kdr	Karaim
kdt	ภาษากูย
kdt-x-kuayer	Kuay Er
kdt-x-kuaysuai	Kuay Suai
kdt-x-kuaytreu	Kuay Treu
kdt-x-suaychang	Suai chang
kdu	Kadaru
kdw	Koneraw
kdx	Kam
kdy	Keder
kdz	Kwaja
kea	Kabuverdianu
keb	Kélé
kec	Keiga
ked	Kerewe
kee	Eastern Keres
kef	Kpessi
keg	Tese
keh	Keak
kei	Kei
kei-x-besar	Kei Besar
kei-x-kecil	Kei Kecil
kei-x-tanimbar	Tanimbar
kej	Kadar
kek	Kekchí
kel	Kela (Democratic Republic of Congo)
kem	Kemak
ken	Kenyang
keo	Kakwa
kep	Kaikadi
keq	Kamar
ker	Kera
kes	Kugbo
ket	Кетский
keu	Akebu
kev	Kanikkaran
kew	West Kewa
kex	Kukna
key	Kupia
kez	Kukele
kfa	Kodava
kfa-x-korama	Korama
kfb	Northwestern Kolami
kfc	Konda-Dora
kfc-x-kirad	Kirad
kfd	Korra Koraga
kfe	Kota (India)
kff	Koya
kff-x-dmorla	Koya-Dmorla
kff-x-doralakoya	Doralakoya
kff-x-dorli	Dorli Koya
kff-x-gottekoy	Gotte Koya
kff-x-rashak	Rashakoya
kff-x-westgoda	W. Godavari Koya
kfg	Kudiya
kfh	Kurichiya
kfi	Kannada Kurumba
kfi-x-adavkuruba	Adavi Kuruba
kfi-x-kukkekuruba	Kukke Kuruba
kfi-x-kurreeku	Kurre Kurumba
kfi-x-okhl	Okhliya
kfj	克蔑话
kfk	Kinnauri
kfl	Kung
kfm	زبان خوانساری
kfn	Kuk
kfo	Koro (Côte d'Ivoire)
kfp	Korwa
kfq	Korku
kfr	Kachchi
kfs	Bilaspuri
kft	Kanjari
kfu	Katkari
kfv	Kurmukar
kfw	Kharam Naga
kfx	Kullu Pahari
kfx-x-innerser	Inner Seraji
kfx-x-InnerSeraji	Inner Seraji
kfx-x-outerser	Outer Seraji
kfx-x-OuterSeraji	Outer Seraji
kfy	Kumaoni
kfy-x-soriyali	Soriyali
kfz	Koromfé
kfz-x-wkoromf	West Koromfé
kg	Kikongo
kga	Koyaga
kga-x-mangoro	Mangoro
kgb	Kawe
kgc	Kasseng
kgd	Kataang
kge	Komering
kgf	Kube
kgg	Kusunda
kgi	Selangor Sign Language
kgj	खाम
kgk	Kaiwá
kgn	Karingani
kgo	Krongo
kgo-x-krongoabdalla	Krongo Abdalla
kgp	Kaingang
kgq	Kamoro
kgr	Abun
kgr-x-abunji	Abun Ji
kgr-x-abuntat	Abun Tat
kgr-x-madik	Moi Madik
kgs	Kumbainggar
kgt	Somyev
kgu	Kobol
kgv	Karas
kgw	Karon Dori
kgx	Kamaru
kgy	吉隆
kha	Khasi
khb	傣仂語
khb-VN-lue	Lü
khb-x-tailueshan	Tai Lue Shan
khc	Tukang Besi North
khd	Bädi Kanum
khe	Korowai
khf	Khuen
khg	ཁམས་སྐད།
khh	Kehu
khj	Kuturmi
khk	Halh Mongolian
khl	Lusi
khn	Khandesi
kho	Khotanese
khp	Kapori
khq	Koyra Chiini Songhay
khr	Kharia
khs	Kasua
kht	Khamti
khu	Nkhumbi
khv	Хваршинский
khw	کهووار
khx	Kanu
khy	Kele (Democratic Republic of Congo)
khz	Keapara
khz-x-aroma	Aroma
khz-x-babaka	Babaka
khz-x-kalo	Kalo
ki	Gĩkũyũ
kia	Kim
kib	Koalib
kic	Kickapoo
kid	Koshin
kie	Kibet
kif	Eastern Parbate Kham
kig	Kimaama
kih	Kilmeri
kii	Kitsai
kij	Kilivila
kil	Kariya
kim	Тофаларский
kin-x-biofu	Biofu
kin-x-kibingi	Kibingi
kin-x-kijovu	Kijovu
kin-x-kinyabinza	Kinyabinza
kin-x-kinyamulenge	Kinyamulenge
kin-x-rufumbira	Rufumbira
kin-x-twapygmie	Twa Pygmie
kio	Kiowa
kip	Sheshi Kham
kiq	Kosadle
kis	Kis
kit	Agob
kiu	Kirmanjki (individual language)
kiv	Kimbu
kiw	Northeast Kiwai
kiw-x-fomomoto	Fomomoto
kiw-x-gibaio	Gibaio
kiw-x-kaimare	Kaimare
kiw-x-kope	Kope
kix	Khiamniungan Naga
kiy	Kirikiri
kiz	Kisi
kj	Kuanyama
kja	Mlap
kjb	Q'anjob'al
kjc	Coastal Konjo
kjd	Southern Kiwai
kje	Kisar
kjf	Xələc dili
kjg	ກຶມຫມຸ
kjh	Хакасский
kji	Zabana
kjj	Xınalıq dili
kjk	Highland Konjo
kjl	Western Parbate Kham
kjm	Kháng
kjn	Kunjen
kjo	Harijan Kinnauri
kjp	Pwo Eastern Karen
kjq	Western Keres
kjr	Kurudu
kjs	East Kewa
kjs-x-kewacentral	Kewa, Central
kjs-x-kewanorth	Kewa, North
kjt	Phrae Pwo Karen
kju	Kashaya
kjv	Kaikavian Literary Language
kjx	Ramopa
kjy	Erave
kjz	Bumthangkha
kk	қазақ тілі
kka	Kakanda
kkb	Kwerisa
kkc	Odoodee
kkd	Kinuku
kke	Kakabe
kkf	Kalaktang Monpa
kkg	Mabaka Valley Kalinga
kkg-x-kaluwan	Kal-Uwan
kkh	Khün
kki	Kagulu
kkj	Kako
kkk	Kokota
kkl	Kosarek Yale
kkm	Kiong
kkn	Kon Keu
kko	Karko
kkp	Gugubera
kkq	Kaiku
kkq-x-kikubere	Kikubere
kkr	Kir-Balar
kks	Giiwo
kkt	Koi
kku	Tumi
kkv	Kangean
kkw	Teke-Kukuya
kkx	Kohin
kkx-x-pembuang	Pembuang
kky	Guguyimidjir
kkz	Kaska
kl	kalaallisut, kalaallit oqaasii
kla	Klamath-Modoc
klb	Kiliwa
klc	Kolbila
kld	Gamilaraay
kle	कुलुङ (Nepal)
klf	Kendeje
klg	Tagakaulo
klh	Weliki
kli	Kalumpang
kli-x-makki	Makki
klj	زبان خلجی
klk	Kono (Nigeria)
kll	Kagan Kalagan
klm	Migum
klm-x-koyako	Koyako
kln	Kalenjin
klo	Kapya
klp	Kamasa
klq	Rumu
klr	खालिङ
kls	کالاش زبان
klt	Nukna
klu	Klao
klv	Maskelynes
klw	Lindu
klx	Koluwawa
kly	Kalao
klz	Kabola
km	ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ
kma	Konni
kmb	Kimbundu
kmb-ZM-mbundu	Mbundu
kmc	南侗語
kmd	Majukayang Kalinga
kmd-x-marian	Kalinga of San Mariano Isabela
kme	Bakole
kmf	Kare (Papua New Guinea)
kmg	Kâte
kmh	Kalam
kmi	Kami (Nigeria)
kmj	Kumarbhag Paharia
kmk	Limos Kalinga
kmk-x-biga	Kalinga-Biga
kmk-x-poswoy	Poswoy
kml	Tanudan Kalinga
kml-x-lubo	Lubo
kml-x-marian	Kalingnga of San Mariano Isabela
kml-x-pangul	Pangul
kml-x-taluctoc	Taloctuc
kmm	Kom (India)
kmn	Awtuw
kmo	Kwoma
kmp	Gimme
kmq	Kwama
kmr	Northern Kurdish
kmr-x-afrini	Kurmanji Afrini
kmr-x-shikaki	Shikaki
kms	Kamasau
kmt	Kemtuik
kmu	Kanite
kmv	Karipúna Creole French
kmv-x-kheuol	Kheuol
kmv-x-patua	Patuá
kmw	Komo (Democratic Republic of Congo)
kmw-x-botoki	Botoki
kmw-x-lubuto	Kikumu Lubuto
kmw-x-nyiragongo	Kikumu Nyiragongo
kmw-x-punia	Kikumu Punia
kmw-x-walekale	Kikumu Walekale
kmx	Waboda
kmy	Koma
kmz	زبان ترکی خراسانی
kn	ಕನ್ನಡ
kna	Dera (Nigeria)
kna-x-gasi	Gasi
knb	Lubuagan Kalinga
knb-x-balantoy	Kalinga Balantoy
knb-x-balbal	Kalingan Balbalan
knb-x-balbalasang	Balbalasang
knb-x-ibalatok	Ibalatok
knb-x-karakkad	Karakkad
knb-x-naneng	Kalinga Naneng
knb-x-salegseg	Salegseg Kalinga
knb-x-tobog	Tobog
knb-x-tubo	Kalinga Tubo
knc	Central Kanuri
knd	Konda
kne	Kankanaey
knf	Mankanya
kng	Koongo
kng-x-kilemfu	Kilemfu
kng-x-kindibu	Kindibu
kng-x-kitandu	Kitandu
kni	Kanufi
knj	Western Kanjobal
knk	Kuranko
knl	Keninjal
knl-x-dayakbarai	Dayak Barai
knl-x-dayakgoneh	Dayak Goneh
knl-x-dayakpenyelompa	Dayak Penyelompat
knl-x-dayaksekubin	Dayak Sekubin
knl-x-kebahan	Dayak Kebahan
knl-x-kebahaulak	Dayak Kebahatn Ulak
knl-x-kenyabur	Dayak Kenyabur
knl-x-kenyilu	Dayak Kenyilu
knl-x-kubin	Dayak Kubin
knl-x-kubing	Dayak Kubing
knl-x-ransa	Dayak Ransa
knl-x-ulusekadau	Dayak Ulu Sekadau
knm	Kanamarí
knn	Konkani (individual language)
knn-x-agri	Agri
kno	Kono (Sierra Leone)
knp	Kwanja
knp-x-ndung	Ndung
knq	Kintaq
knr	Kaningra
kns	Kensiu
knt	Panoan Katukína
knu	Kono (Guinea)
knv	Tabo
knw	Kung-Ekoka
knx	Kendayan
kn-x-bajantri	Bajantri
kn-x-bedar	Bedar
kn-x-bhovi	Bhovi
kn-x-budugaja	Buduga Jangam
kn-x-bundebes	Bunde Bestaru
kn-x-chennada	Chenna Dasar
kn-x-cholliva	Chollivala Nayaka
kn-x-devanga	Devanga
kn-x-dombaru	Dombaru
kn-x-dravidar	Dravidar
kn-x-vagri	Vagri
